num_topics,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
5,account,check,bank,money,fund,chase,deposit,branch,day,business,number,transaction,fee,customer,reason
5,credit,card,report,inquiry,chase,account,score,company,limit,debt,application,information,year,balance,letter
5,loan,mortgage,home,chase,modification,property,year,letter,rate,document,bank,foreclosure,house,sale,time
5,charge,card,chase,transaction,dispute,fraud,claim,merchant,purchase,fee,service,phone,email,time,day
5,payment,balance,fee,interest,month,statement,day,time,date,bill,auto,chase,year,account,rate
6,account,bank,chase,money,fund,branch,number,fee,balance,information,reason,transfer,access,business,deposit
6,credit,card,report,inquiry,chase,score,company,limit,application,debt,year,balance,information,letter,bureaus
6,loan,mortgage,chase,home,modification,property,year,letter,rate,document,foreclosure,bank,house,sale,time
6,charge,chase,card,transaction,dispute,claim,fraud,merchant,purchase,fee,service,phone,day,email,time
6,payment,balance,fee,interest,month,statement,day,time,date,bill,auto,chase,year,credit,rate
6,check,bank,fund,money,deposit,day,branch,cash,chase,claim,hold,business,customer,atm,manager
7,account,bank,chase,money,number,fund,branch,information,reason,access,business,deposit,day,transfer,transaction
7,credit,card,report,inquiry,chase,score,company,limit,application,debt,year,information,letter,balance,bureaus
7,loan,mortgage,home,modification,chase,property,year,rate,letter,document,foreclosure,house,bank,sale,time
7,charge,chase,transaction,card,dispute,claim,fraud,merchant,purchase,service,phone,number,email,day,department
7,fee,balance,interest,overdraft,card,rate,transfer,statement,month,year,purchase,chase,offer,customer,transaction
7,check,bank,fund,money,deposit,day,branch,cash,chase,hold,claim,business,customer,atm,manager
7,payment,month,statement,day,auto,balance,time,interest,date,chase,credit,bill,car,mortgage,error
8,account,bank,chase,money,number,branch,fund,information,reason,access,business,deposit,day,transfer,fraud
8,credit,card,report,inquiry,chase,score,company,limit,application,debt,year,information,letter,bureaus,reporting
8,loan,mortgage,home,modification,chase,property,year,letter,document,foreclosure,house,bank,sale,time,rate
8,charge,chase,transaction,card,dispute,claim,fraud,merchant,purchase,service,phone,number,email,day,department
8,balance,interest,rate,statement,transfer,purchase,card,month,apr,date,charge,offer,chase,advance,period
8,check,bank,fund,money,deposit,day,branch,cash,chase,hold,claim,business,customer,atm,manager
8,payment,month,day,auto,statement,time,chase,credit,date,bill,car,mortgage,error,history,phone
8,fee,overdraft,transaction,year,card,fund,bank,dollar,customer,time,service,chase,month,day,bill
9,account,chase,reason,access,letter,information,branch,number,business,balance,saving,deposit,year,activity,fund
9,card,credit,chase,limit,point,score,balance,purchase,year,offer,service,customer,reward,application,month
9,loan,mortgage,chase,home,modification,property,year,rate,letter,foreclosure,document,house,sale,time,process
9,bank,money,transaction,claim,fund,day,number,fraud,atm,transfer,branch,debit,person,phone,customer
9,payment,month,statement,balance,day,interest,auto,credit,time,date,bill,chase,car,mortgage,error
